woww	wow
g	enggak
nyambungin	menyambung
yg	yang
d	di
uda	sudah
yg	yang
sllu	selalu
org	orang
tu	itu
scra	secara
g	enggak
nggali	menggali
org	orang
yg	yang
g	enggak
g	enggak
yg	yang
cmpur	campur
y	ya
gk	enggak
elo	lo
utk	untuk
jg	juga
dgr	dengar
elo	lo
gk	enggak
y	ya
gak	enggak
gitu	begitu
aja	saja
kurng	kurang
kepoin	mengepoi
sampe	sampai
nangis	menangis
bnget	banget
nangiiiiis	menangis
nangiiis	menangis
kasian	kasihan
ngomentarin	mengomentari
org	orang
aja	saja
org	orang
udh	sudah
idupnya	hidupnya
ortunya	orang tuanya
gk	enggak
woey	woy
bloghhh	goblok
org2	orang-orang
yg	yang
ngomongin	mengomongkan
nyimak	menyimak
doank	doang
lbh	lebih
orang2	orang-orang
orang2	orang-orang
nangis	menangis
abal"	abal-abal
kasian	kasihan
dikata2in	dikata-katai
bnyk	banyak
yg	yang
ngehina	menghina
gmna	bagaimana
smoga	semoga
jd	jadi
yg	yang
bs	bisa
jd	jadi
kebanggan	kebanggaan
udah	sudah
ngaca	mengaca
donk	dong
jg	juga
dah	deh
jngn	jangan
klo	kalo
gimana	bagaimana
mnjawab	menjawab
woooiiiiiiii	woy
dosaaaaaaaaaa	dosa
ingt	ingat
karmaaa	karma
woooiiiii	woy
yg	yang
yg	yang
ngkkkkkk	mengakak
yg	yang
ad	ada
makny	maknya
orng	orang
wdooohhh	waduh
ank	anak
ap	apa
y	ya
kasihn	kasihan
bru	baru
lhirr	lahir
dpt	dapat
hujatann	hujatan
palgi	apalagi
kl	kalo
dh	sudah
yaa	ya
wihhh	wih
kakakkk	kakak
bgt	banget
bagusss	bagus
bangat	banget
yah	ya
yuuk	yuk
yaa	ya
bgt	banget
jt	juta
ngets	banget
stp	setiap
penbelian	pembelian
cuaantik	cantik
sukakkk	suka
bgt	banget
m	sama
pingin	pengin
yg	yang
jgn	jangan
yak	ya
yaa	ya
cucokkk	cocok
bngettt	banget
bkin	bikin
lyt	lihat
expresi	ekspresi
natap	menatap
gilaaa	gila
bgt	banget
gk	enggak
ccok	cocok
helloo	halo
yg	yang
emang	memang
mh	mah
udah	sudah
dripada	daripada
sama2	sama-sama
difotoin	difoto
mreka	mereka
psangan	pasangan
yg	yang
skali	sekali
knp	kenapa
bgttt	banget
cakepp	cakep
ngiriii	mengiri
coxok	cocok
bgt	banget
buatin	buatkan
lg	lagi
napa	kenapa
yahhh	ya
binggo	banget
yng	yang
udah	sudah
liat	lihat
nihhh	nih
statusx	statusnya
cem	macam
yee	ya
klo	kalo
cntik	cantik
bgt	banget
bgt	banget
kaka	kakak
y	ya
ngikutin	mengikuti
ngikutin	mengikuti
cewe	cewek
aja	saja
sm	sama
sunggu	sungguh
udh	sudah
lagiii	lagi
denger	dengar
ammiiin	amin
haddeh	aduh
km	kamu
maaasss	mas
klo	kalo
ngomong	mengomong
nggak	enggak
bgt	banget
segerrrr	segar
ilang	hilang
kemn	kemana
y	ya
g	enggak
suipit	sipit
y	ya
ngomong	mengomong
aj	saja
gk	enggak
sama"	sama-sama
sipiit	sipit
ga	enggak
kedengeran	kedengaran
akn	akan
slalu	selalu
smua	semua
yg	yang
kaka	kakak
semangaatt	semangat
trus	terus
yaah	ya
promil	program hamil
krn	karena
tdk	tidak
lancr	lancar
keputihn	keputihan
gratisss	gratis
km	kami
aamiin	amin
yaa	ya
kebayang	terbayang
dr	dari
aamiin	amin
mdh"	mudah-mudah
qt	kita
bz	bisa
amiinn	amin
liatnya	lihatnya
kk	kakak
aamiin	amin
amiennn	amien
aamiin	amin
aminnn	amin
amiin	amin
amiin	amin
ammin	amin
amiin	amin
amiin	amin
amiin	amin
smg	semoga
mendapatkn	mendapatkan
yg	yang
aminn	amin
aamiin	amin
yaa	ya
yg	yang
laki2	laki-laki
yg	yang
nihh	nih
nonton	menonton
sampe	sampai
lucuuuk	lucu
jg	juga
yaaa	ya
yaa	ya
gw	gue
amaattt	amat
namain	menamai
aje	saja
yaoloh	yaallah
guee	gue
emang	memang
nambah	bertambah
gatau	enggak tahu
klo	kalo
ngerayain	merayakan
ultahnya	ulang tahunnya
nambah	bertambah
nambah	bertambah
sotoy	sok tahu
"yaoloh	yaallah
njir	anjir
liat	lihat
ny	nya
yok	yuk
buatin	membuat
gini	begini
kpn	kapan
d.bikinin	dibikin
kya	kaya
gini	begini
yah	ya
mmz	mas
bikinin	bikin
bapeeeer	bawa perasaan
ngiri	mengiri
yg	yang
lahh	lah
bs	bisa
bikinin	membikin
yah	ya
baperr	bawa perasaan
keliatannya	kelihatannya
udah	sudah
keliatannya	kelihatannya
ilang	hilang
tetep	tetap
siih	sih
udah	sudah
gak	enggak
duluuu	dulu
diginiin	dibeginikan
nnti	nanti
yaa	ya
hadeehh	aduh
org	orang
pu	punya
suamiiiii	suami
sj	saja
tp	tapi
kliatan	kelihatan
krenn	keren
yg	yang
gw	gue
blg	bilang
kebykan	kebanyakan
pake	pakai
aja	saja
keles	kali
bnyak	banyak
aja	saja
tingal	tinggal
pernikahn	pernikahan
ga	enggak
ngtain	mengatai
da	ada
macem	macam
orang2	orang-orang
nggak	enggak
bgt	banget
klo	kalo
bagusnyeee	bagusnya
bgtt	banget
kemaren	kemarin
yg	yang
yg	yang
yank	sayang
hmpir	hampir
kyak	kayak
ama	sama
dehh	deh
liatnyaaa	lihatnya
waw	wow
mbuh	embuh
bsk	besok
nyari	mencari
yg	yang
aja	saja
yg	yang
jdi	jadi
udh	sudah
sya	saya
baper	bawa perasaan
yaah	ya
waaa	wah
kereenn	keren
berbiiiiiihhh	barbie
canteek	cantik
yahh	ya
gini	begini
aminnnn	amin
aja	saja
udah	sudah
engga	enggak
kebayang	terbayang
gmna	bagaimana
teru	terus
nyatok	mencatok
nyampenya	sampainya
yg	yang
goncengin	boncengkan
blm	belum
kasi	kasih
mba	mbak
mba	mbak
bgt	banget
dianterin	diantar
gebleg	geblek
gw	gue
dianterin	diantarkan
udh	sudah
bosen	bosan
anterin	antar
ama	sama
gw	gue
pengen	pengin
engga	enggak
aja	saja
yg	yang
ngantar	mengantar
nganterin	mengantarkan
nangis	menangis
mz	mas
emg	memang
nerima	menerima
ati2	hati-hati
ntar	entar
diapa2in	diapa-apai
lgi	lagi
beneran	benaran
gatau	enggak tau
gak	enggak
yeuh	ya
ga	enggak
dianterin	diantar
kmn	kemana
anterin	antarkan
gak	enggak
kmu	kamu
dianter	diantar
disupirin	disopiri
anterin	antarkan
yg	yang
yg	yang
yg	yang
yg	yang
klo	kalo
bgt	banget
aj	saja
lbh	lebih
trs	terus
jidad	jidat
lbh	lebih
yg	yang
lbh	lebih
yg	yang
lbh	lebih
jangan2	jangan-jangan
yg	yang
yg	yang
yg	yang
yg	yang
ga	enggak
yg	yang
ciee	cie
yg	yang
bln	bulan
novembr	november
yaa	ya
ka	kak
smga	semoga
smpe	sampai
hri	hari
yg	yang
donk	dong
bedain	membedakan
yg	yang
genduut	gendut
ka	kak
yg	yang
yg	yang
ehhh	eh
smua	semua
gak	enggak
yaa	ya
kl	kalo
yg	yang
g	enggak
bertatto	bertato
brrt	berarti
ak	aku
yg	yang
yg	yang
kana	kanan
yg	yang
yg	yang
dtg	datang
doong	dong
yg	yang
bedain	membedakan
yg	yang
yg	yang
yg	yang
sbelah	sebelah
cew	cewek
it	itu
yg	yang
sblah	sebelah
yg	yang
keliatan	kelihatan
yg	yang
tauuu	tau
yg	yang
yg	yang
yg	yang
tengaj	tengah
yg	yang
yg	yang
ka	kak
org	orang
kn	kan
ps	pas
jg	juga
liat	lihat
kk	kakak
dri	dari
k	kak
kn	kan
yg	yang
ad	ada
yg	yang
pke	pakai
kk	kakak
y	ya
yg	yang
gmpg	gampang
bgt	banget
yg	yang
yg	yang
engk	enggak
br	baru
yg	yang
gk	enggak
dr	dari
ak	aku
apal	hapal
dak	indak
ni	ini
rupa2nya	rupa-rupanya
kembaq	kembar
yg	yang
yg	yang
yg	yang
yg	yang
bngt	banget
yg	yang
tngh	tengah
yg	yang
klw	kalau
mknya	makanya
sdkit	sedikit
kyk	kayak
prmpuan	perempuan
yg	yang
pcarny	pacarnya
yg	yang
ketuker	tertukar
gmana	bagaimana
udah	sudah
yg	yang
tu	itu
yg	yang
yg	yang
drimnanya	darimananya
bgt	banget
cntikan	cantikan
gak	enggak
edaaaan	edan
mw	mau
dgn	dengan
dgn	dengan
yg	yang
bngt	banget
syp	siapa
yg	yang
bcnda	bercanda
cantiiik	cantik
ahhh	ah
uhhh	uh
bazengg	bajingan
haiii	hai
bangat	banget
bosaan	bosan
gitu2	begitu-gitu
udah	sudah
pake	pakai
kmana2	kemana-mana
gak	enggak
yuuk	yuk
miripp	mirip
kk	kakak
kyk	kayak
bnget	banget
lg	lagi
kl	kalo
adlh	adalah
dlm	dalam
hrsnya	harusnya
sdh	sudah
krn	karena
bhw	bahwa
yg	yang
bkn	bukan
yg	yang
sdg	sedang
org	orang
yg	yang
yg	yang
jd	jadi
tdk	tidak
krn	karena
gmn	bagaimana
kl	kalo
dgn	dengan
sdh	sudah
ksh	kasih
utk	untuk
kl	kalo
pdhl	padahal
lg	lagi
jd	jadi
dgn	dengan
komentar2	komentar-komentar
yg	yang
kenyataan2	kenyataan-kenyataan
yg	yang
silahkan	silakan
yg	yang
sbg	sebagai
dtg	datang
lwt	lewat
yg	yang
krn	karena
yg	yang
yg	yang
yg	yang
sy	saya
dlm	dalam
sdh	sudah
jd	jadi
sy	saya
spt	seperti
yg	yang
mba	mbak
yg	yang
sy	saya
yg	yang
jd	jadi
sy	saya
tp	tapi
sj	saja
tdk	tidak
sy	saya
krn	karena
sy	saya
sdh	sudah
yg	yang
utk	untuk
jg	juga
sdh	sudah
blg	bilang
org2	orang-orang
dr	dari
gw	gue
blg	bilang
sukur2	sukur-sukur
yg	yang
dpt	dapat
dr	dari
tp	tapi
bener	benar
yg	yang
mba	mbak
dlm	dalam
mba	mbak
aamiin	amin
lg	lagi
gw	gue
ksh	kasih
yg	yang
jg	juga
baek2	baik-baik
hati2	hati-hati
sma	sama
yg	yang
smua	semua
sma	sama
cma	cuma
yg	yang
gak	enggak
nasehatin	menasihati
blm	belum
jg	juga
dgn	dengan
jgn	jangan
krna	karena
hnya	hanya
km	kamu
yg	yang
bener	benar
yaa	ya
jgn	jangan
sama2	sama-sama
dgn	dengan
yg	yang
yg	yang
kl	kalo
utk	untuk
beda2	beda-beda
jgn	jangan
km	kamu
dgn	dengan
berbeda2	berbeda-beda
skrg	sekarang
yg	yang
bkn	bukan
yg	yang
silahkan	silakan
lg	lagi
dgn	dengan
dgn	dengan
yg	yang
dibkatakan	dikatakan
yg	yang
bhw	bahwa
mrk	mereka
yg	yang
doonk	dong
yg	yang
yg	yang
dgn	dengan
ngaku	mengaku
pengikuy	pengikut
tp	tapi
ngmngin	mengomongkan
dr	dari
yg	yang
dmn	dimana
tuch	tuh
u	untuk
org	orang
yg	yang
ngmngin	mengomongkan
gak	enggak
dr	dari
gak	enggak
jgn	jangan
dapet	dapat
sblmnya	sebelumnya
mba	mbak
maksd	maksud
bner	benar
tp	tapi
dr	dari
yg	yang
masing2	masing-masing
adkah	adakah
yg	yang
menbelah	membelah
yg	yang
karna	karena
mba	mbak
ayuk	ayo
yg	yang
mngira	mengira
bertolernsi	bertoleransi
slahkan	salahkan
krna	karena
tolernsi	toleransi
aminn	amin
yg	yang
tdk	tidak
tu	itu
tdk	tidak
yg	yang
dgn	dengan
dgn	dengan
yg	yang
yg	yang
tdk	tidak
yg	yang
skrang	sekarang
sbnarnya	sebenarnya
ingi	ingin
dlm	dalam
dah	deh
oalaaaa	walah
menjelekan	menjelekkan
hadeuuh	aduh
ngomong	mengomong
aja	saja
dikemanain	dikemanakan
pake	pakai
aja	saja
gk	enggak
yg	yang
aneh2	aneh-aneh
km	kamu
gmn	bagaimana
ngak	enggak
yg	yang
ato	atau
yg	yang
jg	juga
trus	terus
jg	juga
bpknya	bapaknya
yg	yang
dgn	dengan
jd	jadi
yg	yang
yg	yang
yg	yang
yg	yang
yg	yang
adlh	adalah
dlm	dalam
tdk	tidak
baca2	baca-baca
ga	enggak
yg	yang
dgn	dengan
lbh	lebih
hrsnya	harusnya
jwb	jawab
sy	saya
dgn	dengan
bkn	bukan
tp	tapi
tdk	tidak
sy	saya
yg	yang
mrk	mereka
yg	yang
gk	enggak
mrk	mereka
adlh	adalah
bkn	bukan
cm	cuma
tp	tapi
jg	juga
org	orang
bs	bisa
kl	kalo
tdk	tidak
tdk	tidak
lbh	lebih
dgn	dengan
tdk	tidak
yg	yang
mba	mbak
tp	tapi
komen2	komen-komen
yg	yang
dgn	dengan
berbeda2	berbeda-beda
pdhl	padahal
dlm	dalam
yg	yang
adlh	adalah
adlh	adalah
yg	yang
kpd	kepada
tdk	tidak
sbg	sebagai
utk	untuk
dr	dari
ga	enggak
yg	yang
sebelum2nya	sebelum-sebelumnya
sbagai	sebagai
masing2	masing-masing
amiin	amin
sedihh	sedih
ka	kak
kangennnn	kangen
smga	semoga
d	di
gndakan	gandakan
kk	kakak
kangeeeeeeeenya	kangen
sm	sama
k	kak
bgt	banget
yg	yang
kngen	kangen
bgtt	banget
sma	sama
gaa	enggak
akn	akan
yg	yang
ganti'kn	menggantikan
smg	semoga
tnang	tenang
amiiiiiiiiiiiiiiiiin	amin
sma	sama
kangennnn	kangen
kgeeeen	kangen
kangeenn	kangen
kangennn	kangen
bangeeeet	banget
smoga	semoga
tnang	tenang
kgn	kangen
hdup	hidup
g	enggak
bsok	besok
hbis	habis
mti	mati
g	enggak
bngetttt	banget
kangeen	kangen
bgect	banget
bangat	banget
dgn	dengan
ama	sama
yah	ya
ajah	saja
aja	saja
ajah	saja
fto	foto
ni	ini
kebaikan"y	kebaikannya
d	di
trima	terima
smoga	semoga
jg	juga
d	di
dssi	disisi
kngenn	kangen
bngett	banget
kebayang	terbayang
yg	yang
yg	yang
kangeeeeennn	kangen
pengen	pengin
dgr	dengar
lagii	lagi
dasyat	dahsyat
ngak	enggak
karna	karena
ngak	enggak
ni	nih
aer	air
bgni	begini
kk	kakak
sya	saya
pake	pakai
skalii	sekali
kngen	kangen
kk	kakak
ama	sama
org	orang
yg	yang
spt	seperti
alm	almarhum
gg	enggak
dtinggl	ditinggal
kk	kakak
terbaiiikkkkk	terbaik
murahhh	murah
pecahhg	pecah
ihh	ih
skrang	sekarang
yahh	ya
gini	begini
kaka	kakak
kakakgh	kakak
terbaeeeek	terbaik
bet	banget
pngen	pengin
emg	memang
prempuan	perempuan
pengen	pengin
udah	sudah
manteep	mantap
wihh	wih
gk	enggak
yg	yang
ngerii	ngeri
bangettt	banget
dehh	deh
makasih	terima kasih
yg	yang
nggeh	engah
indonesiaaa	indonesia
makasih	terima kasih
beneran	benaran
inia	ini
ap	apa
maluu	malu
sempet	sempat
karna	karena
gk	enggak
cobaaaa	coba
ngerii	ngeri
bangett	banget
dehhh	deh
gak	enggak
akn	akan
nyesel	menyesal
cepetan	cepatan
ga	enggak
nyesel	menyesal
udah	sudah
buktiin	membuktikan
yg	yang
ntapsss	mantap
njir	anjir
kamiiii	kami
yg	yang
bgttt	banget
sll	selalu
smangat	semangat
mb	mbak
bc	baca
makasih	terima kasih
byk	banyak
temen2	teman-teman
yg	yang
yaa	ya
byk	banyak
yg	yang
syg	sayang
aq	aku
qmu	kamu
aq	aku
jdi	jadi
tw	tau
gimana	bagaimana
sdkit2	sedikit-sedikit
tntg	tentang
penyakitny	penyakitnya
gak	enggak
da	ada
yg	yang
gak	enggak
mgkin	mungkin
klo	klo
yg	yang
qmu	kamu
slalu	selalu
slalu	selalu
ngajarin	mengajari
tntg	tentang
pa	apa
krn	karena
smakin	semakin
qmu	kamu
dy	dia
spt	seperti
laenny	lainnya
jga	juga
dri	dari
laenny	lainnya
jga	juga
jga	juga
yach	ya
smoga	semoga
bsa	bisa
dapet	dapat
amiinnn	amin
scpatny	secepatnya
trus	terus
yach	ya
bwt	buat
sampein	sampaikan
bwt	buat
yach	ya
smoga	semoga
slalu	selalu
jdi	jadi
yg	yang
bwt	buat
tuany	tuanya
jdi	jadi
yg	yang
amiiinn	amin
bgt	banget
byk	banyak
amiin	amin
iyaaa	iya
gpp	enggak apa-apa
amiinn	amin
ttp	tetap
slalu	selalu
jdi	jadi
yach	ya
amiiinnn	amin
mudah2an	mudah-mudahan
doa2	doa-doa
yg	yang
utk	untuk
amiiinn	amin
bgttt	banget
pjg	panjang
yahhh	ya
syg	sayang
adeeek	adek
jd	jadi
dr	dari
aminnn	amin
amiin	amin
q	ku
bca	baca
ampe	sampai
netes	menetes
mataq	mataku
q	ku
byangin	membayangkan
trjadi	terjadi
ma	sama
q	aku
skrg	sekarang
pnya	punya
bln	bulan
q	aku
dposisi	diposisi
mgkn	mungkin
q	aku
g	enggak
utk	untuk
q	ku
mba	mbak
spt	seperti
tanda2nya	tanda-tandanya
spt	seperti
dijwb	dijawab
smoga	semoga
yg	yang
orgtuanya	orang tuanya
org	orang
aamiin	amin
smoga	semoga
slalu	selalu
aamiin	amin
mudah2an	mudah-mudahan
amiin	amin
byk	banyak
dr	dari
ga	enggak
tmpt	tempat
anak2	anak-anak
tp	tapi
anak2	anak-anak
dgn	dengan
anak2	anak-anak
yg	yang
dgn	dengan
utk	untuk
tmn2nya	teman-temannya
amiinn	amin
makasih	terima kasih
sayy	sayang
bgt	banget
byk	banyak
dr	dari
q	ku
pgen	pengin
jd	jadi
kyk	kayak
km	kamu
benar2	benar-benar
pgn	pengin
salaam	salam
y	ya
kakk	kak
mba	mbak
nangis	menangis
mba	mbak
yg	yang
jg	juga
sampek	sampai
aq	aku
ngerasain	merasai
yg	yang
rasain	rasai
na	nya
aq	aku
ngajar	mengajar
gmn	bagaimana
dri	dari
yg	yang
yg	yang
yaa	ya
dri	dari
liad	lihat
fto2	foto-foto
ngerasa	merasa
yg	yang
laen	lain
yg	yang
bgt	banget
yaa	ya
yg	yang
dlu	dulu
karna	karena
dallam	dalam
tp	tapi
yg	yang
yg	yang
sudh	sudah
dgn	dengan
orang2	orang-orang
tentanh	tentang
amiin	amin
dasyat	dahsyat
pingin	pengin
nangiss	menangis
bgt	banget
yg	yang
jd	jadi
bgt	banget
karna	karena
nnton	menonton
kejadianny	kejadiannya
tp	tapi
ga	enggak
main2	main-main
yg	yang
kk	kakak
smua	semua
slalu	selalu
yg	yang
slalu	selalu
kk	kakak
klg	keluarga
jd	jadi
yg	yang
kk	kakak
sayaang	sayang
smoga	semoga
slalu	selalu
jd	jadi
kebanggan	kebanggaan
klg	keluarga
jd	jadi
yg	yang
yg	yang
slalu	selalu
org	orang
jd	jadi
jd	jadi
yg	yang
sayaang	sayang
klg	keluarga
pd	pada
msg2	masing-masing
yg	yang
smg	semoga
yg	yang
yg	yang
org	orang
bgt	banget
pd	pada
yg	yang
tp	tapi
hrs	harus
bgt	banget
dr	dari
nyesel	menyesal
bgt	banget
ga	enggak
sblm	sebelum
pdhl	padahal
ngerasa	merasa
ga	enggak
byk	banyak
pgnnya	penginnya
meluk	memeluk
tp	tapi
ga	enggak
mudah2an	mudah-mudahan
kata2nya	kata-katanya
gak	enggak
lg	lagi
duhh	duh
bangeet	banget
siiihhh	sih
mupeng	muka pengin
baper	bawa perasaan
trus	terus
gini	begini
gitu	begitu
caya	percaya
pingin	pengin
kpn	kapan
km	kamu
mna	mana
ny	nya
d	di
yg	yang
bgt	banget
yg	yang
kek	kayak
gini	begini
gak	enggak
liat	lihat
aduhhhhhhhhh	aduh
bangettt	banget
buseett	buset
gitu	begitu
mblo	jomblo
nyari	mencari
yg	yang
bgini	begini
km	kamu
kek	kayak
gini	begini
gini	begini
bkin	bikin
ga	enggak
bgt	banget
yaa	ya
males	malas
njir	anjir
lucuuu	lucu
gagahx	gagahnya
miriiiip	mirip
kaliiii	kali
miriiiip	mirip
bgt	banget
ky	kaya
wahh	wah
bgt	banget
yakk	ya
ga	enggak
niru	meniru
bpknya	bapaknya
mudah2an	mudah-mudahan
bpkmu	bapakmu
aje	saja
aq	aku
sangt	sangat
kmn	kemana
dgn	dengan
slm	salam
gak	enggak
baang	bang
gasih	enggak sih
kasian	kasihan
gak	enggak
pake	pakai
mba	mbak
bgt	banget
yuu	yuk
yg	yang
aqu	aku
yuuu	yuk
cantiik	cantik
yukk	yuk
rb	ribu
aja	saja
cantikk	cantik
gantengg	ganteng
kt	kita
bgt	banget
seneng	senang
liat	lihat
samaa	sama
seneng	senang
liatnya	lihatnya
ngademin	mengademkan
aahh	ah
ngiri	mengiri
pengen	pengin
gini	begini
kakkk	kak
ayuk	ayo
yukk	yuk
kakk	kak
makasi	terima kasih
looo	loh
gak	enggak
pake	pakai
utk	untuk
yg	yang
yg	yang
ga	enggak
nyesel	menyesal
uda	sudah
keluarin	keluarkan
yokk	yuk
ayoook	ayo
gini	begini
gils	gila
kek	kayak
aja	saja
ono	sono
ama	sama
pke	pakai
kpn	kapan
kek	kayak
gni	begini
nggak	enggak
trs	terus
trus	terus
gini	begini
weeeh	wih
bagiin	membagikan
suksea	sukses
kaa	kak
temenan	berteman
yah	ya
temenan	berteman
bsa	bisa
sehh	sih
deket	dekat
bgt	banget
temen	teman
dekt	dekat
ihh	ih
bgtt	banget
genggg	geng
bsok	besok
gtu	begitu
yawloh	ya allah
gimana	bagaimana
gak	enggak
gak	enggak
gini	begini
njirr	anjir
bhnya	bahannya
km	kamu
dlu	dulu
anjirrrr	anjir
cucokkk	cocok
loo	loh
ultahnya	ulang tahunnya
samaaaa	sama
gak	enggak
nyangka	menyangka
dlm	dalam
yaaa	ya
abanggku	abangku
sayanggg	sayang
lagii	lagi
dsni	disini
ajaa	saja
silahkan	silakan
ciieeeeeee	cie
kokohh	engkoh
cieeeee	cie
sukaaa	suka
pdhal	padahal
takuttt	takut
yuks	yuk
yah	ya
yng	yang
kmrn	kemarin
bg	bang
kmrn	kemarin
bg	bang
pnjual	penjual
yh	ya
gak	enggak
ahhh	ah
sma	sama
ga	enggak
dung	dong
latian	latihan
yaaaa	ya
bgt	banget
ampe	sampai
lgsg	langsung
aaaaaaakkk	ah
mauuuu	mau
yg	yang
ga	enggak
soga	moga
kmu	kamu
gak	enggak
yg	yang
gitu	begitu
kngen	kangen
pngen	pengin
tteh	teteh
sintron	sinetron
pake	pakai
astagaa	astaga
w	gue
ancurrr	hancur
ap	apa
td	tadi
iaa	iya
liat	lihat
dblkang	dibelakang
yayang	sayang
y	ya
yah	ya
ginian	beginian
gimna	bagaimana
bingit	banget
kmu	kamu
gokillllll	gila
yg	yang
gokillllll	gila
kk	kakak
cntik	cantik
bgtt	banget
aplks	aplikasi
pengen	pengin
nyoba	mencoba
yg	yang
dongg	dong
makasi	terima kasih
pling	paling
ska	suka
denger	dengar
ktawa	ketawa
amiin	amin
hrs	harus
aamiin	amin
yaa	ya
gini	begini
aamiin	amin
amiin	amin
pengen	pengin
baguuus	bagus
aamiin	amin
ntar	entar
ayoook	ayo
udah	sudah
kaaan	kan
ihhh	ih
banged	banget
yok	yuk
pgn	pengin
gini	begini
mauuuuu	mau
ngepoin	mengepoi
uuhh	uh
ngakak	mengakak
gitu	begitu
bgt	banget
bgt	banget
dah	deh
pengen	pengin
beut	banget
baper	bawa perasaan
gw	gue
gw	gue
skrg	sekarang
sampe	sampai
duhh	duh
njirrr	anjir
duhh	duh
baper	bawa perasaan
ngiri	mengiri
pengeeenn	pengin
bgt	banget
yak	ya
g	enggak
bosen	bosan
liat	lihat
dongggg	dong
gini	begini
trs	terus
trs	terus
nyampe	sampai
g	enggak
bosen	bosan
liatnya	lihatnya
qu	ku
qu	ku
gak	enggak
pengen	pengin
hatii	hati
aja	saja
laa	lah
besook	besok
ahh	ah
aq	aku
mauu	mau
gtuu	begitu
gara2	gara-gara
maen	main
yg	yang
njayyy	anjay
ngakak	mengakak
elu	lu
maacih	terima kasih
tokayyy	tahi
yg	yang
taun	tahun
to	tapi
mksdku	maksudku
knp	kenapa
gw	gue
gituin	begitukan
lgsung	langsung
cba	coba
gk	enggak
nh	nih
bgt	banget
klo	kalo
lg	lagi
gituin	begitukan
gak	enggak
yah	ya
gak	enggak
ilang"	hilang-hilang
giniin	beginikan
aja	saja
ksini	kesini
kaaa	kak
kubarikan	kuberikan
aq	aku
giniin	beginikan
ayank	sayang
anyeng	anjing
skali	sekali
bng	bang
njirrr	anjir
lgi	lagi
ngapain	mengapai
kya	kaya
gx	enggak
yankkk	sayang
aja	saja
d	di
cukurrr	cukur
gilaaaaaa	gila
aja	saja
yah	ya
ga	enggak
tu	itu
pala	kepala
klau	kalau
bgt	banget
kaka	kakak
yhaaa	ya
qaqaaaa	kakak
sayangkuuuuu	sayangku
kakakuuu	kakakku
dh	deh
orng	orang
kk	kakak
rb	ribu
klau	kalau
rb	ribu
yah	ya
bangett	banget
bgt	banget
gini	begini
naksir	menaksir
pake	pakai
pake	pakai
rekomendasiin	merekomendasikan
gak	enggak
banx	bang
utk	untuk
edannn	edan
pake	pakai
udah	sudah
nggk	enggak
thn	tahun
thn	tahun
makasih	terima kasih
udh	sudah
ksh	kasih
bangett	banget
ga	enggak
lg	lagi
liat	lihat
bs	bisa
bape	bawa perasaan
skrg	sekarang
yg	yang
artis"	artis-artis
naksir	menaksir
ngelahirin	melahirkan
paksain	memaksa
biasaa	biasa
pengen	pengin
besarin	membesarkan
hub	hubungi
aja	saja
makasih	terima kasih
saranin	menyarankan
ga	enggak
udah	sudah
saranin	menyarankan
bangett	banget
saranin	menyarankan
skrg	sekarang
ga	enggak
nyesel	menyesal
aja	saja
makasih	terima kasih
yaa	ya
hubunggi	hubungi
gak	enggak
loooh	loh
kek	kayak
telimakacih	terima kasih
telimakacih	terima kasih
bngt	banget
keliatan	kelihatan
yuuk	yuk
nerawang	menerawang
alloh	allah
cantiiiik	cantik
ga	enggak
didapet	didapat
tanya2	tanya-tanya
dapetin	mendapati
gak	enggak
pede	percaya diri
gara2	gara-gara
ga	enggak
utk	untuk
smoga	semoga
ttp	tetap
aminn	amin
kuningggg	kuning
kk	kakak
mz	mas
mb	mbak
emg	memang
keliatan	kelihatan
nyolot	menyolot
donk	dong
kk	kakak
udah	sudah
aja	saja
sihhh	sih
tu	itu
cantikkk	cantik
kakk	kakak
ska	suka
ko	kok
gak	enggak
yah	ya
org	orang
indo	indonesia
lgsg	langsung
kyk	kayak
gini	begini
ga	enggak
ga	enggak
yg	yang
liat	lihat
ad	ada
d	di
bangat	banget
aja	saja
ni	ini
elahh	alah
ngaca	mengaca
gk	enggak
pd	pada
ga	enggak
pnting	penting
pnya	punya
dlm	dalam
ga	enggak
ga	enggak
bela2in	membela-bela
smpe	sampai
marah2an	marah-marahan
prnh	pernah
wlaupun	walaupun
syantiiiiikkkkkkkkkkkk	cantik
punyaaa	punya
aja	saja
gk	enggak
yg	yang
nd	indak
ush	usah
bwa"	bawa-bawa
agma	agama
subahanallah	subhanallah
cantikk	cantik
bgt	banget
pke	pakai
hijabb	hijab
engga	enggak
bangettttt	banget
kerrennn	keren
ga	enggak
makasih	terima kasih
udah	sudah
rekomendasiin	merekomendasikan
jd	jadi
lbih	lebih
dr	dari
ngetik	mengetik
ntr	entar
ntah	entah
pan	kapan
aja	saja
mateeeek	mati
mba	mbak
ultah	ulang tahun
yah	ya
sma	sama
kl	kalo
gimana	bagaimana
geetoo	begitu
ginian	beginian
ga	enggak
ultah	ulang tahun
diginiin	dibeginikan
ultah	ulang tahun
ultah	ulang tahun
ntr	entar
sewain	menyewa
kokkk	kok
muluuu	melulu
kaka	kakak
yaaang	yang
iyaa	iya
ntar	entar
dbuat	dibuat
gituu	begitu
yappp	ya
msih	masih
thn	tahun
lg	lagi
uwahhhhh	wah
g	enggak
bs	bisa
lbh	lebih
